id,question,options,correctAnswer,explanation
155,关于“民用航空器国籍”正确的是 {{c1::B}},民用航空器可以不进行国籍登记而投入运行||民用航空器只能具有一国国籍||自外国租赁的民用航空器不能申请我国国籍,2,《中国民用航空法》第九条：民用航空器不得具有双重国籍。未注销外国国籍的民用航空器不得在中华人民共和国申请国籍登记。
156,（  ）对空域实行统一管理 {{c1::A}},国家||中央军事委员会||国务院和中央军事委员会,1,《中华人民共和国民用航空法》第七十条规定：国家对空域实行统一管理。
157,空域管理的具体办法由（  ）制定 {{c1::C}},民用航空总局||中央军事委员会||国务院和中央军事委员会,3,《中华人民共和国民用航空法》第七十二条：空域管理的具体办法，由国务院、中央军事委员会制定。
158,同一个管制区域范围内，能否两个管制单位同时指挥同一架航空器？ {{c1::C}},可以，同时指挥可增加飞行的安全性||可以，如果出现指挥分歧可互相协调||不可以,3,在一个划定的管制空域内，由一个空中交通管制单位负责该空域内的航空器的空中交通管制。
159,在一个划定的管制空域内，由（  ）负责该空域内的航空器的空中交通管制 {{c1::A}},军航或民航的一个空中交通管制单位||军航和民航的各一个空中交通管制单位||军航的一个空中交通管制单位,1,《中华人民共和国民用航空法》第七十三条：在一个划定的管制空域内，由一个空中交通管制单位负责该空域内的航空器的空中交通管制。
160,民用航空器在管制空域内飞行 {{c1::C}},可以自由飞行||可以按VFR自由飞行||必须取得空中交通管制单位的许可,3,《中华人民共和国民用航空法》第七十四条：民用航空器在管制空域内进行飞行活动，应当取得空中交通管制单位的许可。
161,民用航空器因故确需偏离指定的航路或者改变飞行高度飞行时，应当首先 {{c1::C}},得到机长的允许||取得机组的一致同意||取得空中交通管制单位的许可,3,《中国民用航空法》第七十五条：因故确需偏离指定的航路或者改变飞行高度飞行的，应当取得空中交通管制单位的许可。
162,关于民用航空器使用禁区的规定是 {{c1::C}},绝对不得飞入||符合目视气象条件方可飞入||按照国家规定经批准后方可飞入,3,《中华人民共和国民用航空法》第七十八条规定：民用航空器除按照国家规定经特别批准外，不得飞入禁区；除遵守规定的限制条件外，不得飞入限制区。
163,在下列哪种情况下民用航空器可以飞越城市上空 {{c1::A}},指定的航路必须飞越城市上空时||能见地标的目视飞行时||夜间飞行时,1,"《中华人民共和国民用航空法》第七十九条：民用航空器不得飞越城市上空；但是，有下列情形之一的除外：
（一）起飞、降落或者指定的航路所必需的；
（二）飞行高度足以使该航空器在发生紧急情况时离开城市上空，而不致危及地面上的人员、财产安全的；
（三）按照国家规定的程序获得批准的。"
164,私用飞机驾驶员能否随意从空中投掷物品？ {{c1::B}},可以||不可以||经管制员批准后可以,2,《中华人民共和国民用航空法》第八十条：飞行中，民用航空器不得投掷物品；但是，有下列情形之一的除外： （一）飞行安全所必需的； （二）执行救助任务或者符合社会公共利益的其他飞行任务所必需的。
165,飞行中的飞机在以下哪种情况下可以投掷物品？ {{c1::A}},紧急时刻可以||只有事先获得民航局的批准才可以||随时都可以,1,"《中华人民共和国民用航空法》第八十条：飞行中，民用航空器不得投掷物品；但是，有下列情形之一的除外：
（一）飞行安全所必需的；
（二）执行救助任务或者符合社会公共利益的其他飞行任务所必需的。"
166,某洗发水公司是否可以雇用飞机在城市上空经过时，投放新设计的试用洗发水？ {{c1::A}},不可以||可以||不收运费时可以,1,"飞行中，民用航空器不得投掷物品；但是，有下列情形之一的除外：
（一）飞行安全所必需的；
（二） 执行救助任务或者符合社会公共利益的其他飞行任务所必需的。"
167,私用驾驶员可以利用自己的飞机，抛撒传单进行广告宣传吗？ {{c1::C}},为自己做广告可以||不收费时可以||不可以,3,"《中华人民共和国民用航空法》规定，飞行中，民用航空器不得投掷物品；但是，有下列情形之一的除外：
（一）飞行安全所必需的；
（二） 执行救助任务或者符合社会公共利益的其他飞行任务所必需的。"
168,关于从航空器上空投物体，以下说法哪个正确？ {{c1::B}},只有在紧急情况下||如果已经采取了合理的预防措施，能够避免对地面上的人员或财产造成危害||只有事先获得民航局的批准,2,依据CCAR91部第 91.17 条规定， 民用航空器的机长不得允许从飞行中的航空器上投放任何可能对人员或财产造成危害的物体。但是如果已经采取了合理的预防措施，能够避免对人员或财产造成危害，本条不禁止此种投放。
169,空中交通管制单位为飞行中的民用航空器提供的服务不包括 {{c1::C}},告警服务||飞行情报服务||导航服务,3,空中交通管制单位应当为飞行中的民用航空器提供空中交通服务，包括空中交通管制服务、飞行情报服务和告警服务。
170,空中交通管制单位为飞行中的民用航空器提供的空中交通服务中含有 {{c1::A}},飞行情报服务||机场保障服务||导航服务,1,《中华人民共和国民用航空法》第八十二条规定：空中交通管制单位应当为飞行中的民用航空器提供空中交通服务，包括空中交通管制服务、飞行情报服务和告警服务。
171,空中交通管制单位应为飞行中的民用航空器提供的空中交通服务不包括 {{c1::C}},空中交通管制服务||飞行情报服务和告警服务||空中救援服务,3,《中华人民共和国民用航空法》第八十二条规定：空中交通管制单位应当为飞行中的民用航空器提供空中交通服务，包括空中交通管制服务、飞行情报服务和告警服务。
172,私用驾驶员应向哪个部门获取飞行情报？ {{c1::A}},空中交通管制单位||飞行签派员||塔台,1,《中华人民共和国民用航空法》第八十二条规定：空中交通管制单位应当为飞行中的民用航空器提供空中交通服务，包括空中交通管制服务、飞行情报服务和告警服务。
173,航路上影响航空器飞行的障碍物应该如何处理？ {{c1::C}},自然障碍物，应当设置飞行障碍灯和标志||人工障碍物，应在航图上标明||对于自然障碍物，应在航图上标明，对于人工障碍物，应当设置飞行障碍灯和标志,3,航路上影响飞行安全的自然障碍物体，应当在航图上标明；航路上影响飞行安全的人工障碍物体，应当设置飞行障碍灯和标志，并使其保持正常状态。
174,航路上影响飞行安全的自然障碍物体，应当 {{c1::A}},在航图上标明||设置飞行障碍灯和标志||限期清除,1,《中华人民共和国民用航空法》第八十五条：航路上影响飞行安全的自然障碍物体，应当在航图上标明。
175,在民用机场及其按照国家规定划定的净空保护区域以外，对于危及飞行的（  ）应该设置障碍灯和标志。 {{c1::B}},高大山脉||人工高大建筑物||火山,2,《中华人民共和国飞行基本规则》第二十四条：在机场及其按照国家规定划定的净空保护区域以外，对可能影响飞行安全的高大建筑物或者设施，应当按照国家有关规定设置飞行障碍灯和标志，并使其保持正常状态。
176,在航路或航线飞行时，什么情况下可以飞过摩天大楼？ {{c1::C}},夜间飞行时||航图上标注之后||摩天大楼设置了飞行障碍灯,3,依据《中华人民共和国民用航空法》第八十五条规定，航路上影响飞行安全的自然障碍物体，应当在航图上标明，航路上影响飞行安全的人工障碍物体，应当设置飞行障碍灯和标志，并使其保持正常状态。
177,"私用飞行的民用航空器需要携带哪些文件？
①国籍登记证 ②适航证 ③航行记录簿 ④无线电台执照（如机上装有无线电设备） ⑤旅客姓名、性别及出发地和目的地清单 ⑥货物舱单和明细的申报单 ⑦机组人员相应的执照 {{c1::A}}",①②③④⑥⑦||②③④⑤⑥⑦||①②③④⑤⑥⑦,1,"从事飞行的民用航空器，应当携带下列文件：
1．民用航空器国籍登记证书；
2．民用航空器适航证书；
3．机组人员相应的执照；
4．民用航空器航行记录簿；
5．装有无线电设备的民用航空器，其无线电台执照；
6．载有旅客的民用航空器，其所载旅客姓名及其出发地点和目的地点的清单；
7．载有货物的民用航空器，其所载货物的舱单和明细的申报单；
8．根据飞行任务应当携带的其他文件。
民用航空器未按规定携带前款所列文件的，国务院民用航空主管部门或者其授权的地区民用航空管理机构可以禁止该民用航空器起飞。"
178,民用航空器运行，需要携带以下哪些文件？ {{c1::A}},适航证，航行记录簿，驾驶员执照||体检合格证，运行资格证书||适航证，保险单,1,"《中华人民共和国民用航空法》第九十条规定：从事飞行的民用航空器，应当携带下列文件：
（一）民用航空器国籍登记证书；
（二）民用航空器适航证书；
（三）机组人员相应的执照；
（四）民用航空器航行记录簿；
（五）装有无线电设备的民用航空器，其无线电台执照；
（六）载有旅客的民用航空器，其所载旅客姓名及其出发地点和目的地点的清单；
（七）载有货物的民用航空器，其所载货物的舱单和明细的申报单；
（八）根据飞行任务应当携带的其他文件。
民用航空器未按规定携带前款所列文件的，国务院民用航空主管部门或者其授权的地区民用航空管理机构可以禁止该民用航空器起飞。"
179,执行飞行任务的民用航空器不需要携带的文件是 {{c1::B}},驾驶员执照和体检合格证||航空人身意外保险合同||民用航空器航行记录簿,2,"《中华人民共和国民用航空法》第九十条规定：从事飞行的民用航空器，应当携带下列文件：
（一）民用航空器国籍登记证书；
（二）民用航空器适航证书；
（三）机组人员相应的执照；
（四）民用航空器航行记录簿；
（五）装有无线电设备的民用航空器，其无线电台执照；
（六）载有旅客的民用航空器，其所载旅客姓名及其出发地点和目的地点的清单；
（七）载有货物的民用航空器，其所载货物的舱单和明细的申报单；
（八）根据飞行任务应当携带的其他文件。
民用航空器未按规定携带前款所列文件的，国务院民用航空主管部门或者其授权的地区民用航空管理机构可以禁止该民用航空器起飞。"
180,民用航空器执行任务时不需要携带 {{c1::B}},适航证、国籍登记证||航空器保险单||机组成员的执照和体检合格证,2,"《中华人民共和国民用航空法》第九十条规定：从事飞行的民用航空器，应当携带下列文件： 
（一）民用航空器国籍登记证书； 
（二）民用航空器适航证书； 
（三）机组人员相应的执照； 
（四）民用航空器航行记录簿； 
（五）装有无线电设备的民用航空器，其无线电台执照； 
（六）载有旅客的民用航空器，其所载旅客姓名及其出发地点和目的地点的清单； 
（七）载有货物的民用航空器，其所载货物的舱单和明细的申报单； 
（八）根据飞行任务应当携带的其他文件。 
民用航空器未按规定携带前款所列文件的，国务院民用航空主管部门或者其授权的地区民用航空管理机构可以禁止该民用航空器起飞。"
181,从事飞行的民用航空器不需要携带的文件是 {{c1::B}},机组人员相应的执照||飞行记录薄||民用航空器适航证书,2,"《中华人民共和国民用航空法》第九十条规定：从事飞行的民用航空器，应当携带下列文件： 
（一）民用航空器国籍登记证书； 
（二）民用航空器适航证书； 
（三）机组人员相应的执照； 
（四）民用航空器航行记录簿； 
（五）装有无线电设备的民用航空器，其无线电台执照； 
（六）载有旅客的民用航空器，其所载旅客姓名及其出发地点和目的地点的清单； 
（七）载有货物的民用航空器，其所载货物的舱单和明细的申报单； 
（八）根据飞行任务应当携带的其他文件。 
民用航空器未按规定携带前款所列文件的，国务院民用航空主管部门或者其授权的地区民用航空管理机构可以禁止该民用航空器起飞。"
182,从事飞行的民用航空器必须携带的文件包括 {{c1::C}},飞机保险合同和机组人员相应的执照||飞行记录本和机组人员的体检合格证||无线电台执照，国籍登记证书和民用航空器适航证书,3,"从事飞行的民用航空器，应当携带下列文件：
（一）民用航空器国籍登记证书；
（二）民用航空器适航证书；
（三）机组人员相应的执照；
（四）民用航空器航行记录簿；
（五）装有无线电设备的民用航空器，其无线电台执照；
（六）载有旅客的民用航空器，其所载旅客姓名及其出发地点和目的地点的清单；
（七）载有货物的民用航空器，其所载货物的舱单和明细的申报单；
（八）根据飞行任务应当携带的其他文件。
民用航空器未按规定携带前款所列文件的， 国务院民用航空主管部门或者其授权的地区民用航空管理机构可以禁止该民用航空器起飞"
183,私照持有人想带朋友进行观光，不需要携带哪个文件？ {{c1::B}},国籍登记证||乘客名单||适航证,2,"依据《中国民用航空法》第九十条 从事飞行的民用航空器，应当携带下列文件：
（一）民用航空器国籍登记证书；
（二）民用航空器适航证书；
（三）机组人员相应的执照；
（四）民用航空器航行记录簿；
（五）装有无线电设备的民用航空器，其无线电台执照；
（六）载有旅客的民用航空器，其所载旅客姓名及其出发地点和目的地点的清单；
（七）载有货物的民用航空器，其所载货物的舱单和明细的申报单；
（八）根据飞行任务应当携带的其他文件。
民用航空器未按规定携带前款所列文件的，国务院民用航空主管部门或者其授权的地区民用航空管理机构可以禁止该民用航空器起飞。"
184,民用航空器必须具有民航局颁发的（ ）方可飞行。 {{c1::C}},经营许可证||机场使用许可证||适航证,3,"《中华人民共和国民用航空法》第九十条规定，从事飞行的民用航空器，应当携带下列文件：
（一）民用航空器国籍登记证书；
（二）民用航空器适航证书；
（三）机组人员相应的执照；
（四）民用航空器航行记录簿；
（五）装有无线电设备的民用航空器，其无线电台执照；
（六）载有旅客的民用航空器，其所载旅客姓名及其出发地点和目的地点的清单；
（七）载有货物的民用航空器，其所载货物的舱单和明细的申报单；
（八）根据飞行任务应当携带的其他文件。
民用航空器未按规定携带前款所列文件的，国务院民用航空主管部门或者其授权的地区民用航空管理机构可以禁止该民用航空器起飞。"
185,使用民用航空器航拍属于通用航空飞行吗？ {{c1::A}},属于||不属于||视情况而定,1,通用航空，是指使用民用航空器从事公共航空运输以外的民用航空活动，包括从事工业、农业、林业、渔业和建筑业的作业飞行以及医疗卫生、抢险救灾、气象探测、海洋监测、科学实验、教育训练、文化体育等方面的飞行活动。
186,根据通用航空的飞行特点，下列哪些属于通用航空？①医疗卫生②抢险救灾③气象探测、海洋监测④旅游观光 {{c1::C}},②③④||①③④||①②③④,3,《中华人民共和国民用航空法》第一百四十五条：通用航空，是指使用民用航空器从事公共航空运输以外的民用航空活动，包括从事工业、农业、林业、渔业和建筑业的作业飞行以及医疗卫生、抢险救灾、气象探测、海洋监测、科学实验、教育训练、文化体育等方面的飞行活动。
187,"通用航空，是指使用民用航空器从事公共航空运输以外的民用航空活动，包括（ ）等方面的飞行活动。
①工业、农业、林业、渔业和建筑业的作业飞行
②医疗卫生、抢险救灾、气象探测、海洋监测
③科学实验、教育训练、文化体育 {{c1::C}}",②③||①②||①②③,3,《中华人民共和国民用航空法》第一百四十五条规定：通用航空，是指使用民用航空器从事公共航空运输以外的民用航空活动，包括从事工业、农业、林业、渔业和建筑业的作业飞行以及医疗卫生、抢险救灾、气象探测、海洋监测、科学实验、教育训练、文化体育等方面的飞行活动。
188,下列哪些活动不属于通用航空活动？ {{c1::C}},航拍||抢险||缉私,3,《中华人民共和国民用航空法》第一百四十五条规定，通用航空是指使用民用航空器从事公共航空运输以外的民用航空活动，包括从事工业、农业、林业、渔业和建筑业的作业飞行以及医疗卫生、抢险救灾、气象探测、海洋监测、科学实验、教育训练、文化体育等方面的飞行活动。
189,抢险救灾属于（）。 {{c1::B}},公共运输航空||通用航空||军用航空,2,通用航空，是指使用民用航空器从事公共航空运输以外的民用航空活动，包括从事工业、农业、林业、渔业和建筑业的作业飞行以及医疗卫生、抢险救灾、气象探测、海洋监测、科学实验、教育训练、文化体育等方面的飞行活动。
190,在必须撤离遇险民用航空器的紧急情况下，最后离开民用航空器的应当是 {{c1::B}},乘务员||机长||旅客,2,《中华人民共和国民用航空法》第四十八条：机长应当最后离开民用航空器。
191,在必须撤离遇险民用航空器的紧急情况下，机组人员离开民用航空器，必须 {{c1::C}},随旅客一起撤离||在机长撤离后||在经过机长允许后,3,《中华人民共和国民用航空法》第四十八条：未经机长允许，机组人员不得擅自离开民用航空器。
192,机长收到船舶或者其他航空器的遇险信号，或者发现遇险的船舶、航空器及其人员，应当将遇险情况 {{c1::A}},及时报告就近的空中交通管制单位并给予可能的合理的援助||及时报告本公司签派室并给予可能的合理的援助||继续飞行，降落后尽快报告民航总局,1,《中华人民共和国民用航空法》第五十条：机长收到船舶或者其他航空器的遇险信号，或者发现遇险的船舶、航空器及其人员，应当将遇险情况及时报告就近的空中交通管制单位并给予可能的合理的援助。
193,搜寻援救民用航空器的具体办法，由（  ）规定 {{c1::A}},国务院||民航局||当地政府,1,《中华人民共和国民用航空法》第一百五十三条：搜寻援救民用航空器的具体办法，由国务院规定。
194,民用航空器事故调查的组织和程序，由（  ）规定。 {{c1::A}},国务院||民航局||当地政府,1,《中华人民共和国民用航空法》第一百五十六条：民用航空器事故调查的组织和程序，由国务院规定。
195,飞行员发现其他民用航空器遇到紧急情况时，应向哪个部门报告？ {{c1::B}},当地公安机关||空中交通管制单位||航空公司,2,民用航空器遇到紧急情况时，应当发送信号，并向空中交通管制单位报告，提出援救请求；空中交通管制单位应当立即通知搜寻援救协调中心。民用航空器在海上遇到紧急情况时，还应当向船舶和国家海上搜寻援救组织发送信号。
196,民用航空器在海上遇险时，除了联系空中管制部门外，还应当向（）发送信号。 {{c1::A}},船舶和国家海上搜寻援救组织||当地政府||搜寻援救协调中心,1,中华人民民用航空法第一百五十一条 民用航空器遇到紧急情况时，应当发送信号，并向空中交通管制单位报告，提出援救请求；空中交通管制单位应当立即通知搜寻援救协调中心。民用航空器在海上遇到紧急情况时，还应当向船舶和国家海上搜寻援救组织发送信号。
197,飞行员发现民用航空器遇到紧急情况应该如何处理？ {{c1::C}},立即通知航空公司救援小组||立即通知当地公安机关||立即通知有关的搜寻援救协调中心或当地政府,3,发现民用航空器遇到紧急情况或者收听到民用航空器遇到紧急情况的信号的单位或者个人，应当立即通知有关的搜寻援救协调中心、海上搜寻援救组织或者当地人民政府。
198,搜寻援救人员救援时首要的救援对象是什么？ {{c1::A}},机上所载人员||黑匣子||驾驶舱仪表设备,1,执行搜寻援救任务的单位或者个人，应当尽力抢救民用航空器所载人员，按照规定对民用航空器采取抢救措施并保护现场，保存证据。
199,地面第三人损害赔偿的诉讼时效期间为（  ），自损害发生之日起计算。 {{c1::A}},二年||三年||五年,1,《中华人民共和国民用航空法》第一百七十一条规定：地面第三人损害赔偿的诉讼时效期间为二年，自损害发生之日起计算；但是，在任何情况下，时效期间不得超过自损害发生之日起三年。
200,"对地面第三人损害的赔偿责任，由民用航空器的经营人承担。有关经营人的说法，正确的是①所称经营人，是指损害发生时使用民用航空器的人。民用航空器的使用权已经直接或者间接地授予他人，本人保留对该民用航空器的航行控制权的，本人可以不被视为经营人。
②经营人的受雇人、代理人在受雇、代理过程中使用民用航空器，无论是否在其受雇、代理范围内行事，均视为经营人使用民用航空器。
③民用航空器登记的所有人应当被视为经营人，并承担经营人的责任； {{c1::B}}",①||②③||①②③,2,"《中华人民共和国民用航空法》第一百五十八条：本法第一百五十七条规定的赔偿责任，由民用航空器的经营人承担。
前款所称经营人，是指损害发生时使用民用航空器的人。民用航空器的使用权已经直接或者间接地授予他人，本人保留对该民用航空器的航行控制权的，本人仍被视为经营人。
经营人的受雇人、代理人在受雇、代理过程中使用民用航空器，无论是否在其受雇、代理范围内行事，均视为经营人使用民用航空器。
民用航空器登记的所有人应当被视为经营人，并承担经营人的责任；除非在判定其责任的诉讼中，所有人证明经营人是他人，并在法律程序许可的范围内采取适当措施使该人成为诉讼当事人之一。"
201,因飞行中的民用航空器造成地面人员受伤，地面人员是否可以获得赔偿？ {{c1::C}},无论什么原因造成的，地面人员均有权获得赔偿||地面人员所受损害并非造成损害的事故的直接后果，受害人可要求部分赔偿||所受损害仅是民用航空器依照规定正常运行所造成的，受害人无权要求赔偿,3,因飞行中的民用航空器或者从飞行中的民用航空器上落下的人或者物，造成地面（包括水面，下同）上的人身伤亡或者财产损害的，受害人有权获得赔偿；但是，所受损害并非造成损害的事故的直接后果，或者所受损害仅是民用航空器依照国家有关的空中交通规则在空中通过造成的，受害人无权要求赔偿。
202,他人驾驶你的飞机，造成地面人员伤亡，你需要承担赔偿责任吗 ？ {{c1::A}},除证明本人已经适当注意防止此种使用外，应当与该非法使用人承担连带责任||无需承担责任||承担主要责任,1,未经对民用航空器有航行控制权的人同意而使用民用航空器，对地面第三人造成损害的，有航行控制权的人除证明本人已经适当注意防止此种使用外，应当与该非法使用人承担连带责任。
203,出现哪种情况可吊销驾驶执照？①执行飞行任务时，没带执照和体检合格证；②遇险时先离开；③受到酒类、麻醉剂或其他药物影响损及工作能力时仍执行飞行任务的。 {{c1::C}},①②||①②③||②③,3,"中国民用航空法第208 条，民用航空器的机长或者机组其他人员有下列行为之一的，由国务院民用航空主管部门给予警告或者吊扣执照一个月至六个月的处罚； 有第(二 ) 项或者第 ( 三)项所列行为的，可以给予吊销执照的处罚 ：
（一）在执行飞行任务时 , 不按照本法第四十一条的规定携带执照和体格检查合格证书的 ;（二）民用航空器遇险时,违反本法第四十八条的规定离开民用航空器的 ；（三）违反本法第七十七条第二款的规定执行飞行任务的。"
204,某航空器驾驶员吃兴奋剂后飞行，被发现后，会受到什么样的处罚？ {{c1::C}},若没有造成事故，需重新学习理论||造成事故，除重新学习理论外，还会罚款2万-10万以上||吊销驾驶员执照,3,"《中华人民共和国民用航空法》第二百零八条：民用航空器的机长或者机组其他人员有下列行为之一的，由国务院民用航空主管部门给予警告或者吊扣执照一个月至六个月的处罚；有第（二）项或者第（三）项所列行为的，可以给予吊销执照的处罚：
（一）在执行飞行任务时，不按照本法第四十一条的规定携带执照和体格检查合格证书的；
（二）民用航空器遇险时，违反本法第四十八条的规定离开民用航空器的；
（三）违反本法第七十七条第二款的规定执行飞行任务的。
第七十七条：民用航空器机组人员受到酒类饮料、麻醉剂或者其他药物的影响，损及工作能力的，不得执行飞行任务。"
205,航空器在运行期间机上未携带现行有效的适航证是否违法？ {{c1::A}},违法，可责令停飞||不违法||违法，可追究其刑事责任,1,《中华人民共和国民用航空法》第二百零一条：违反本法第三十七条的规定，民用航空器无适航证书而飞行，或者租用的外国民用航空器未经国务院民用航空主管部门对其原国籍登记国发给的适航证书审查认可或者另发适航证书而飞行的，由国务院民用航空主管部门责令停止飞行，没收违法所得，可以并处违法所得一倍以上五倍以下的罚款；没有违法所得的，处以十万元以上一百万元以下的罚款。
206,未携带飞机适航证而起飞，没有违法所得的，将接受什么样的处罚？ {{c1::A}},处以十万元以上一百万元以下的罚款||处以十万元以上一百万元以下的罚款，并暂扣一至六个月的航空器||处以十万元以上一百万元以下的罚款，并暂扣一至六个月的驾驶证,1,《中华人民共和国民用航空法》第二百零一条：违反本法第三十七条的规定，民用航空器无适航证书而飞行，或者租用的外国民用航空器未经国务院民用航空主管部门对其原国籍登记国发给的适航证书审查认可或者另发适航证书而飞行的，由国务院民用航空主管部门责令停止飞行，没收违法所得，可以并处违法所得一倍以上五倍以下的罚款；没有违法所得的，处以十万元以上一百万元以下的罚款。
207,某航空公司一架飞机的适航证书过期失效还继续飞行，处罚是（）。 {{c1::A}},有违法所得，没收违法所得，并处违法所得一倍以上五倍以下的罚款||没有违法所得的，处以二十万元以上一百万元以下的罚款||对其所在公司处以二十万元以下的罚款,1,"民用航空器无适航证书而飞行，或者租用的外国民用航空器未经国务院民用航空主管部门对其原国籍登记国发给的适航证书审查认可或者另发适航证书而飞行的，由国务院民用航空主管部门责令停止飞行，没收违法所得，可以并处违法所得一倍以上五倍以下的罚款；没有违法所得的，处以十万元以上一百万元以下的罚款。
适航证书失效或者超过适航证书规定范围飞行的，依照前款规定处罚。"
208,航空器未按空中交通管制单位指定的航路和飞行高度飞行，机长将会受到怎样的处罚 ？ {{c1::A}},警告或吊扣执照一至六个月，或吊销执照||警告或停飞1至3个月||吊扣执照十二个月,1,"依据《中国民用航空法》第十五章规定，有下列违法情形之一的，由国务院民用航空主管部门对民用航空器的机长给予警告或者吊扣执照一个月至六个月的处罚，情节较重的，可以给予吊销执照的处罚：
1.机长违反《中华人民共和国民用航空法》第四十五条第一款的规定，未对民用航空器实施检查而起飞的；
2.民用航空器违反《中华人民共和国民用航空法》第七十五条的规定，未按照空中交通管制单位指定的航路和飞行高度飞行，或者违反《中华人民共和国民用航空法》第七十九条的规定飞越城市上空的。"
209,外国航空器飞入我国领空前20至15分钟，其机组必须向我国（）报告，并取得飞入领空的许可 {{c1::A}},空中交通管制部门||民航局地区管理局||国务院民航主管部门,1,《中华人民共和国飞行基本规则》第一百一十四条　外国航空器飞入或者飞出中华人民共和国领空，必须按照规定的航路飞入或者飞出。飞入或者飞出领空前20至15分钟，其机组必须向中华人民共和国有关空中交通管制部门报告，并取得飞入或者飞出领空的许可；未经许可，不得飞入或者飞出。
210,机场飞行空域应当划设在航路和空中走廊以外。仪表（云中）飞行空域的边界距离航路、空中走廊以及其他空域的边界，均不得小于 {{c1::B}},5公里||10公里||15公里,2,《中华人民共和国飞行基本规则》第十四条：机场飞行空域应当划设在航路和空中走廊以外。仪表（云中）飞行空域的边界距离航路、空中走廊以及其他空域的边界，均不得小于10公里。
211,机场飞行空域应当划设在航路和空中走廊以外，通常包括驾驶术（特技、编队、仪表）飞行空域、科研试飞飞行空域、射击飞行空域、夜间飞行空域、等待空域及（  ） {{c1::A}},低空飞行空域、超低空飞行空域、海上飞行空域||低空飞行空域、超低空飞行空域、中空飞行空域||低空飞行空域、超低空飞行空域、目视飞行空域,1,《中华人民共和国飞行基本规则》第十四条：机场飞行空域通常包括驾驶术（特技、编队、仪表）飞行空域、科研试飞飞行空域、射击飞行空域、低空飞行空域、超低空飞行空域、海上飞行空域、夜间飞行空域和等待空域等。
212,机场飞行空域的划设，由（  ）提出方案，报（  ）批准。 {{c1::A}},驻机场航空单位，中国人民解放军军级航空单位或者军区空军||民航局，国务院和中央军事委员会||地区管理局，国务院和中央军委空中交通管制委员会,1,《中华人民共和国飞行基本规则》第十四条：机场飞行空域的划设，由驻机场航空单位提出方案，报所在地区的中国人民解放军军级航空单位或者军区空军批准。
213,某飞机在最低的等待高度层上，则其距离地面最高障碍物的真实高度至少为（）。 {{c1::A}},600米||900米||300米,1,等待空域通常划设在导航台上空；飞行活动频繁的机场，可以在机场附近上空划设。等待空域的最低高度层，距离地面最高障碍物的真实高度不得小于600米。8400米以下，每隔300米为一个等待高度层；8400米至8900米隔500米为一个等待高度层；8900米至12500米，每隔300米为一个等待高度层；12500米以上，每隔600米为一个等待高度层。
214,关于航路，下列说法正确的是（）。 {{c1::C}},航路应确定上限，没有下限。||航路应当确定下限，没有上限。||航路应确定上限和下限。,3,航路分为国际航路和国内航路。 航路的宽度为20公里，其中心线两侧各10公里；航路的某一段受到条件限制的，可以减少宽度，但不得小于8公里。航路还应当确定上限和下限。
215,在我国，空域通常划分为（）、航路、航线、空中禁区、空中限制区和空中危险区等。 {{c1::C}},空中走廊||等待空域||机场飞行空域,3,空域通常划分为机场飞行空域、航路、航线、空中禁区、空中限制区和空中危险区等。空域管理和飞行任务需要的，可以划设空中走廊、空中放油区和临时飞行空域。
216,空域通常划分为（） {{c1::B}},空中走廊、空中放油区和临时飞行空域||机场飞行空域、航路、航线、空中禁区、空中限制区和空中危险区||机场飞行空域、航路、航线、空中走廊,2,空域通常划分为机场飞行空域、航路、航线、空中禁区、空中限制区和空中危险区等。空域管理和飞行任务需要的，可以划设空中走廊、空中放油区和临时飞行空域。
217,"空域通常划分为哪些类型 ？
①机场飞行空域②航路、航线③空中禁区、空中限制区和空中危险区。 {{c1::C}}",①②||①③||①②③,3,空域通常划分为机场飞行空域、航路、航线、空中禁区、空中限制区和空中危险区等。空域管理和飞行任务需要的，可以划设空中走廊、空中放油区和临时飞行空域。
218,根据空域管理和飞行任务需要，可以划设 {{c1::A}},空中走廊、空中放油区和临时飞行空域||空中禁区、空中限制区和空中危险区||超低、低空飞行区、中空飞行区、高空飞行区,1,"《中华人民共和国飞行基本规则》第十二条规定：空域的划设应当考虑国家安全、飞行需要、飞行管制能力和通信、导航、雷达设施建设以及机场分布、环境保护等因素。
空域通常划分为机场飞行空域、航路、航线、空中禁区、空中限制区和空中危险区等。空域管理和飞行任务需要的，可以划设空中走廊、空中放油区和临时飞行空域。"
219,国家政治、军事中心应划设 {{c1::A}},P（禁区）||D（危险区）||R（限制区）,1,根据中华人民共和国飞行基本规则；第十七条 国家重要的政治、经济、军事目标上空，可以划设空中禁区、临时空中禁区。常以醒目的Ｐ在航图上加以标注。
220,等待空域中，是否都是每隔300米为一个等待高度层？ {{c1::B}},是||不是||每隔600米为一个等待高度层,2,等待空域通常划设在导航台上空；飞行活动频繁的机场，可以在机场附近上空划设。等待空域的最低高度层，距离地面最高障碍物的真实高度不得小于600米。8400米以下，每隔300米为一个等待高度层；8400米至8900米隔500米为一个等待高度层；8900米至12500米，每隔300米为一个等待高度层；12500米以上，每隔600米为一个等待高度层。
